ano;disciplina;conteudo
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;LÍNGUA PORTUGUESA
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Análise linguística
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Fatores de textualidade
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Progressão textual: a coesão
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Progressão textual: a coerência
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Interdiscursividade e intertextualidade
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Procedimentos de apreensão e compreensão
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Linguagem figurada
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Figuras de linguagem I: relações de semelhança
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Figuras de linguagem II: relações de implicação mútua e de intensidade
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Figuras de linguagem III: relações de oposição
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Figuras de linguagem IV: relações de repetição e de sonoridade
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Inferência de temas em textos figurativos
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Variação linguística: visões sobre o fenômeno
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Variedades linguísticas: língua e identidade
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Variação situacional: modalidade e registro
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Estudo das estruturas linguísticas: formas, funções e valores
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Classes nominais I: substantivo, adjetivo, artigo e numeral
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Classes nominais II: pronomes
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Verbo: formas e propriedades
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Advérbio: valores e funções
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Classes de conexão I: causalidade, explicação e oposição
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Classes de conexão II: outros valores semânticos
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Literatura e Arte
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Arte como linguagem
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Gêneros literários clássicos
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Renascimento artístico e cultural: épica e lírica de Luís de Camões
