ano;disciplina;conteudo
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Variação linguística
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Denotação e conotação
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Ambiguidade
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Nomes e referência
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Verbos e advérbios
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Pronomes dêiticos
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Pronomes e coesão
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Sujeito e predicado
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Vozes verbais
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Adjuntos adverbiais
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Termos nominais: estratégias de caracterização
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações substantivas: sentidos e efeitos
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações adjetivas: explicação ou restrição
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações adverbiais
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações coordenadas
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Registros linguísticos: formalidade e adequação
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Regência
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Crase
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Pontuação
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Concordância verbal
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Processos de formação de palavras
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Verbo: a categoria tempo
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Verbo: a categoria modo
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Verbo: usos da variedade culta
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Entendimento de texto
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Apreensão de sentido
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Compreensão de sentido
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Intertextualidade
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Relações cúmplices e relações polêmicas
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Distorções de leitura
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Tipos de texto: descrição, narração e dissertação
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Funções da linguagem: noções gerais
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Funções da linguagem: referencial, emotiva e conativa
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Funções da linguagem: metalinguística e fática
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Recursos expressivos: a função poética
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Gêneros textuais: contexto e função social
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Gêneros textuais: tema, estrutura e estilo
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Gêneros jornalísticos narrativos
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Gêneros jornalísticos dissertativos
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Gêneros textuais: propósito e interlocução
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Figuras de linguagem: semelhança
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Figuras de linguagem: implicação mútua
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Figuras de linguagem: oposição
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Figuras de linguagem: tensividade
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Temas e figuras
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Leitura de textos não verbais
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Humor e sociedade
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Humor e recursos linguísticos
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Tipos de discurso
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Redação
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Dominar competências: uma introdução
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Compreender a proposta de redação
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Desenvolver estrutura dissertativa
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Formar repertório: reflexões sobre o “tempo”
3º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Selecionar, relacionar e organizar informações
